Contact Type,Precinct,# Contact Attempts,# Contacts/Canvasses,Contact rate,,
2: Calls,Pct 070,11095,158,1.42%,,
2: Calls,Pct 220,10691,272,2.54%,,
2: Calls,Pct 129,10387,204,1.96%,,
2: Calls,Pct 219,10259,236,2.30%,,
2: Calls,Pct 073,10096,130,1.29%,,
2: Calls,Pct 090,10077,168,1.67%,,
2: Calls,Pct 093,10044,157,1.56%,,
2: Calls,Pct 125,9831,127,1.29%,,
2: Calls,Pct 048,9751,145,1.49%,,
2: Calls,Pct 032,9724,120,1.23%,,
2: Calls,Pct 066,9673,173,1.79%,,
2: Calls,Pct 086,9659,198,2.05%,,
2: Calls,Pct 119,9608,185,1.93%,,
2: Calls,Pct 001,8998,127,1.41%,,
2: Calls,Pct 018,8654,143,1.65%,,
2: Calls,Pct 106,8539,160,1.87%,,
2: Calls,Pct 131,8511,193,2.27%,,
2: Calls,Pct 065,8267,178,2.15%,,
2: Calls,Pct 019,8201,160,1.95%,,
2: Calls,Pct 072,8051,135,1.68%,,
2: Calls,Pct 059,8049,152,1.89%,,
2: Calls,Pct 064,7857,132,1.68%,,
2: Calls,Pct 067,7402,142,1.92%,,
2: Calls,Pct 110,7137,142,1.99%,,
